',Tweet,Polaridade,Localizacao
RoniltonMatos,"RT @fabipaesleme: Hoje na Barra da Tijuca, RJ. Depois da entrevista do candidato Jair Bolsonaro na Rede Globo #BolsonaroNoJornalNacional ht…",Neutro,Brasil
LucianaMar80,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",Neutro,
obaaluuh,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
backande,"RT @eufeguedes: Demorei bastante tempo para realmente decidir. Pesquisei sobre muitos candidatos, suas propostas, seus ideais, etc. Depois…",Neutro,
jpalmeida628,RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,Neutro,"Minas Gerais, Brasil"
oIlecio,RT @marioqueiroga: Agora... No shopping... A galera parando na frente de qualquer TV pra ver Bolsonaro !! Vc acredita ainda em pesquisa?? #…,Positivo,"Mato Grosso, Brasil"
luana01helena,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Rio de Janeiro, Brasil"
leal_livia,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
petschome,"RT @joaodrew94: vamos apreciar a beleza da mulher que matou o Bolsonaro em pleno Jornal Nacional. 
#BolsonaroNoJornalNacional 
OBRIGADO REN…",Negativo,♀isa
Dr_Educamillo,"RT @terca_livre: Merval Pereira mordeu a isca... 

DEUS FAMÍLIA BRASIL = palavras que não existem no dicionário dos globais.

Entrevista ag…",Neutro,"Centro, Rio de Janeiro"
jucianayoga,"RT @danieltuita: o cara é editor chefe 
procurou os salarios mas nao procurou os  cargos

é muita burrice porem mil likes dos bolsominion s…",Neutro,
vulgoEllenzada,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,"São Pedro da Aldeia, Brasil"
Emyeduarda_,"RT @RondinellySena: Vamos lá Brasil: Já que as pesquisas eleitorais ""oficiais"" são manipuladas, vamos descobrir a verdade.

Em quem você vo…",Neutro,"Santa Carmem, Brasil"
RodrigooMasson,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
_heymanu_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
Viih2313,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Rio de Janeiro, Brasil"
anabellbar,"RT @flaviogomes69: Nem mais, nem menos. Nenhuma pessoa razoavelmente civilizada vota nisso aí. https://t.co/GgylHHTiMm",Negativo,"São Paulo, Brasil"
VandaRenault,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"São Paulo, Brasil"
campos_agnaldo,"RT @Desesquerdizada: De #BolsonaroNoJornalNacional: ""Vocês vivem em grade parte aqui de recursos da União"".
VERDADEIRO. https://t.co/zMzWuY…",Neutro,"Capão Redondo, São Paulo"
NussViana,"RT @kimpkat: Resposta sobre segurança pública irretocável. Policial que, no meio da ação, mata o criminoso que porta arma ostensivamente, d…",Neutro,"Rio de Janeiro, Brasil"
gabsrdjr,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,tøp
_cmffc,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Neutro,
GlaucieMarie,"RT @JOAQUIMTEIXEIA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",Neutro,
MiihhNogueira,RT @carinavitral: Hoje vamos entrevistar o candidato Bozonaro. #BolsonaroNoJornalNacional https://t.co/sk7XLcNFuF,Neutro,Localiza Ai 
vinigoncales_,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Bauru, Brasil"
mangabeira666,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
britovit,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
iosef65194313,"RT @douglasrodrigo2: Prefiro um presidente com cola na mão, do que um com tornozeleira na canela. 

#BolsonaroNoJornalNacional",Positivo,
youngstupd,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,rafaella is my twin soulmate
CiroDoNorte,"RT @jovensreacinhas: Quem liga para economia, emprego e saúde?

A gente quer saber é de um ""kit gay"" que nunca saiu do papel!

O país não p…",Neutro,"Pará, Brasil"
caioromagnolo,"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",Neutro,
mariomarcioms,"RT @SchuldinerSieg: Você acha que o Jair Bolsonaro se saiu bem na Sabatina da Globo?

#BolsonaroNoJornalNacional 

Vote e dê RT!

Vamos ESP…",Neutro,"Campo Grande, Rio de Janeiro"
KateFGMP,Fui de #Ciro no primeiro turno. PT não é minha preferência. Mas agora sou #HaddadPresidente desde criancinha. #Eleições2018,Positivo,
RafaelComenta,Sou #HaddadPresidente mas o meu coração é do Ciro Gomes! ❤😭 #Eleições2018,Positivo,Bordel da Marisqueira 
bellaazevedoo,"OBRIGADA NORDESTE, VOCÊS SEMPRE NOS SALVANDO 💖 #Eleições2018 #Haddad13 #HaddadPresidente #Nordeste #Ciro12",Positivo,"Rio de Janeiro, Brasil"
eubaralho,"@cirogomes vc n pode ter ganho as eleições, mas ganhou meu coração #ViraViraClR0 #Eleições2018",Positivo,
wesaquino_,"RT @reisvic13: Vc diria não pra este neném? 😍
#ViraViraClR0 #Eleições2018 https://t.co/blQtnWGYQS",Positivo,"Tijuca, Rio de Janeiro"
wesley_freitass,Uma andorinha só não faz verão. O #ViraViraClR0  mostrou ao Brasil como se deve votar. Não é à toa que somos destaq… https://t.co/ZwxkzRgLZZ,Positivo,Icó - Ceará
usecarlos,Que eleições futuras seja Ciro Gomes e Boulos de vice. #ViraViraClR0 #Eleições2018 #,Positivo,
Badoguinho,"A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0… https://t.co/wxe8aGUmFp",Positivo,"Cícero Dantas, Brasil"
wesley_freitass,Orgulho de ser do único estado em que a maioria dos eleitores votaram de forma racional. #ViraViraClR0 #Eleições2018 #Ceará,Positivo,Icó - Ceará
NlioMartins,RT @TeamCiroGomes: A grandiosa e bela Leila apoiou Ciro lá no DF! Parabéns nova senadora! 👏 #ViraViraClR0 https://t.co/TvXteEWwoy,Positivo,
knjinart,"RT @Badoguinho: A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0 #Haddad13 #a…",Positivo,
PauloRFTeixeir1,"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",Neutro,"Indaiatuba, Brasil"
ovasco71,"RT @Ro_Moller: Esta entrevista do Bolsonaro no Jornal Nacional vai tirar o sono de muita gente

E garanto que não será do Bolsonaro ou de s…",Neutro,"Rio de Janeiro, Brasil"
RodLopes96,"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",Positivo,"Angra dos Reis, Brasil"
jotacarricondo,"RT @MrSinceroBlog: #BolsonaroNoJornalNacional

URGENTE!!
PGR acaba de denunciar Jair Bolsonaro:

Depois da entrevista de hoje pra William B…",Neutro,"Presidente Prudente, Brasil"
drewasangel,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,bieber follows
NevesJuvenil,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Positivo,
michaeldm23,"RT @MarceloDireita: Essa mitada aqui desestabilizou de vez a Renata e o Bonner kkkkkkkkkkk

#BolsonaroNoJornalNacional https://t.co/5e1LTGF…",Positivo,"Santos, Brasil"
nobodycareslo,FILHO DA PUTAAAA,Negativo,"São Paulo, Brasil"
Mariscleuza,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,balneário camboriu
FabianaMMendes,"RT @oiluiz: Isso não era uma cola para ele se lembrar.

Era uma mensagem pra gente nunca esquecer. 

#BolsonaroNoJornalNacional https://t.c…",Positivo,
itsangells,"RT @bchartsnet: O massacre da Renata no Bozo: ""Seu salário de deputado, nós pagamos. O meu, na iniciativa privada, não sou obrigada a dizer…",Negativo,MILITANTE EM BEVELE RIOS
b4ckaround,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,Rio de Janeiro
AndressaThurow,"RT @Lucaschaoandre: Apreciem a mulher que destruiu o Bolsonaro em pleno Jornal nacional.

Renata Vasconcellos eu escolhi te amar ❤️

#Bolso…",Negativo,sei não onde tô
Vulgo_Ste,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
ggiprokopiuk,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
BruniellyF,"RT @mahbaydoun: ooh mãezinha por que me tiraste do teu ventre pra ver o Bolsonaro fora do manicômio 

#BolsonaroNoJornalNacional https://t.…",Negativo,Brasil
nannyalbuquerq,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,RJ
Carol_S_N,"RT @joaodrew94: vamos apreciar a beleza da mulher que matou o Bolsonaro em pleno Jornal Nacional. 
#BolsonaroNoJornalNacional 
OBRIGADO REN…",Negativo,Algum lugar do mundo
chyflolo,Quase 6 mil pessoas no Twitter votam nele. Essa rede social já foi composta por pessoas melhores.,Negativo,Brasil
MPRADOP,"RT @RafaellaGappo: Pergunta se a Renata ganha a mesma coisa que o Bonner! 

 #BolsonaroNoJornalNacional",Neutro,"São Paulo, Brasil"
marimar12016521,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Parque Barreto, São João de Me"
RaphaelDuprat,"Não consigo entender uma mulher, um homossexual e um negro apoiarem um homem machista e preconceituoso como o Bolso… https://t.co/IRM45X2esG",Negativo,"Campinas, Brasil"
rhonypop,"RT @VRetorno: 23:59 - ""Você deve interferir na diferença salarial entre homens e mulheres na iniciativa privada""

00:00 - ""Mas você e o Bon…",Neutro,
pjkookmin,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
aloizio_ornelas,"RT @BlogDoPim: Sobre #BolsonaroNoJornalNacional, assista ao meu comentário para a Jovem Pan. https://t.co/LF42PHSZYX",Neutro,"Brazlândia, Brasília"
CaioSchlemper,"Sério, não vejo uma voadora dela, mesmo por que ela como cidadã, deveria se preocupar com oque o trabalho dela preg… https://t.co/uoIjCp1KxQ",Neutro,"Santa Catarina, Brasil"
PeracioDias,"RT @allantercalivre: Agora vocês entendem o apelido de MITO que o povo colocou em @jairbolsonaro?
#BolsonaroNoJornalNacional",Positivo,"Sorocaba, Brasil"
eduardaoliiv,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Recife, Pernambuco"
_lightweightx,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Neutro,na cama da Demi Lovato.
hummelstylinson,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,27.05.18
damnitana,não acredito que to presa nesse tweet puta que pariu as pessoas são ignorantes demais caraaaaaa,Neutro,
gutonu,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
NemuelMuniz,RT @MBLivre: Globo repete o erro da Globo News e fala de 64. Bolsonaro cita Roberto Marinho. #BolsonaroNoJornalNacional,Neutro,
CAROLAINEjj,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,País das sereias
spiess_walter,"Renata e Bonner queriam vingar seus coleguinhas da #GloboNews, foram buscar lã e saíram tosquiados.
😎
#BolsonaroNoJornalNacional",Positivo,
godisaowman,RT @diImabr: Precisamos tombar esse momento da TV Brasileira como Patrimônio Histórico da Humanidade. Alô @UN!!! #BolsonaroNoJornalNacional…,Neutro,
celsorenato5,"RT @conexaopolitica: ÚLTIMAS: Sobre a declaração de #BolsonaroNoJornalNacional, leia o editorial de autoria do jornalista Roberto Marinho,…",Neutro,Estados Unidos
lovemypetsbr1,"RT @professorigor: Sobre o processo contra Bolsonaro, deveriamos saber que não importa o que se diz, mas quem diz!

#BolsonaroNoJornalNacio…",Neutro,
wagnercurado,"RT @maepatriota: Hey, Data Folha, parece que  vai bem a popularidade de Bolsonaro entre vendedores e carregadores de caixotes do Ceasa. 
#B…",Neutro,
HaendelA,"RT @Mark_Senkd: Bonner e Renata, fiquem tranquilos. Quando Bolsonaro estiver lá, a mamata do dinheiro público na mídia vai acabar e ninguém…",Positivo,"Ponta Negra, Natal"
Ferreirao78,"Não é pedir impugnação e sim impugnar.
Impugnar = contestar.",Negativo,"Salvador, Brasil"
FL4V10C4RV4LH0,RT @CatiaAmorim5: @LudinoMeire Meu voto e da maioria da minha família é no maior Estadista do Brasil,Positivo, Lula/Haddad/ Manuela!!!
PedroEkos,Só falta o escroto escroque do sergio moro revelar sua enorme inveja e insignificância em relação ao cidadão Luiz I… https://t.co/s88gqONsDV,Neutro,Brasil
carloshj31,"RT @rick0800: Hj será o seguinte, A META É AUMENTAR O N° DE SEGUIDORES. 
Dê RT, CURTE, COMENTE E ME SIGA...
Quem curtir um automaticamente…",Neutro,"São Paulo, Brasil"
Isleite,"RT @SandraRCReyes: Lugar de bandido é no presídio e não disputando eleição 😡
#LulaéPresidiário 
@TSEjusbr @STF_oficial https://t.co/Dq8d4oW…",Negativo,Brazil
pooxa_thais,"@brennothad ele sabe que não tá, é só pra manter o nome dele vivo...assim como o nome dele tava apagado na época do… https://t.co/ToVGOqlTID",Neutro,
Francis14165387,Borá BrasilComBolsonaro,Negativo,"Natal, Brasil"
liamabat,RT @turquim5: Chegou a nota...👉Militante tucano travestido de Jornalista da Globo que comemorou coercitiva de Lula nas redes é demitido!!!…,Neutro,Floripa
CarminhaAlmeida,"RT @DCM_online: Dilma: ‘Como estão fazendo com Lula, querem me cassar novamente’ https://t.co/p34TseLqxJ",Neutro,Bahia
duendefada,"RT @cartamaior: THE GUARDIAN, Londres. Lula do Brasil lança candidatura desde a prisão com milhares em marcha de apoio. Enquanto milhares d…",Neutro,Brasil
RevMarq,"RT @SaraLaurian: A chapa FHC – Haddad já está pronta.

O tucano disse à Jovem Pan que não descarta uma aliança entre PT e PSDB para derrota…",Neutro,
fabri_zelmer,"RT @LulaOficial: Lula é candidato!

Vamos reconstruir o Brasil! O povo vai decidir o que quer para o futuro do país, como tem que ser! Vamo…",Positivo,"Carmen de Patagones, Argentina"
niviaregina,Prender Lula e deixá-lo incomunicável já não era ‘solução’ em 1980 https://t.co/Nua8f5ccio,Neutro,BRASIL
eniysilva06yaho,"RT @luisnassif: Quando a grande mídia faz leitura enviesada de pesquisa para esvaziar apoio a Lula
https://t.co/Bvn9Oy6gT4 https://t.co/T3v…",Neutro,
feduambiental,RT @Haddad_Fernando: Agora é Lula Presidente pra fazer o Brasil feliz de novo! https://t.co/qxQCHG7swb,Positivo,
rubentransporte,RT @JoelAlexandreM: Milhares de pessoas marcham em defesa da candidatura do Lula😂 #LulaÉPresidiario https://t.co/r9JH3xcpvf,Negativo,IGUAZU ARGENTINA
heliojunior_the,"RT @ricardope: João Amoedo vai pedir para TSE barrar Lula. Se alguém tinha alguma dúvida de que o NOVO é ""legenda de aluguel"" do PSDB agora…",Neutro,Brasil
ivomarcelino,RT @fabifbbr: Min.Rosa Weber decidirá Min.Barroso ou o Min.Gonzaga?Quem vai decidir sobre pedido de registro da candidatura de Lula?Defesa…,Neutro,Aracaju-Sergipe-Brazil
ROZELCORSI,"RT @PatoCorporation: Nem Rede Globo, Deltan Dallagnol, Sérgio Moro, Raquel Dodge, STF, MBL, Abril, Band, VemPraRua, FIESP, FEBRABAN, Amoedo…",Neutro,
RivasNestor86,RT @LulaOficial: “Quero que o povo possa decidir se me dará a oportunidade de consertar o país” - @Haddad_Fernando leu carta de Lula aos br…,Neutro,"Ciudad Guayana, Venezuela"
MaraMaia2,"RT @brasil247: Em sua defesa ao CNJ, Favreto, que mandou soltar Lula, diz que Moro age como se fosse autoridade superior https://t.co/qYDF2…",Neutro,Brasil
petrutreli,"RT @Furttas: Planos de Governo 2018:

Lula/Haddad/Manu
https://t.co/pKFK9QnrjC

Ciro Gomes
https://t.co/diVMal501N

Cabo Daciolo
https://t.…",Neutro,Brasília
SIGAmeTODOSbuda,"RT @gurudepre: Barroso foi ''sorteado''
Lula será ''julgado'' por Barroso
Barroso já declarou inúmeras vezes sua oposição a Lula
Onde está…",Neutro,GOIANIA
PComsigua,RT @LulaOficial: “Quero que o povo possa decidir se me dará a oportunidade de consertar o país” - @Haddad_Fernando leu carta de Lula aos br…,Neutro,"Puerto Ordáz, Venezuela"
trajanojorge,RT @brasil247: Haddad: TSE deve aguardar decisão do STJ antes de julgar candidatura Lula https://t.co/iSyrgsor2P,Neutro,
HurricaneGM81,Lula está para candidato tanto quanto CV está para facção criminosa.,Negativo,Misanthropic pass by Earth
RenataBuqeroni,"RT @DanGois____: De dentro da prisão já vi presidiário poder estudar, orar, se exercitar, usar celular, mas ser presidente é a primeira vez…",Negativo,"Mimoso do Sul, Brasil"
CarlaAnhaia,"RT @ManuelaDavila: #tbt da nossa chapa ao melhor estilo ""a nossa voz continua a mesma, mas os nossos cabelos... quanta diferença!"" 😂
Parcer…",Neutro,
lajoyadeoriente,RT @LulaOficial: “Quero que o povo possa decidir se me dará a oportunidade de consertar o país” - @Haddad_Fernando leu carta de Lula aos br…,Neutro,Maturin Estado Monagas
neo_soares,"Isso não é nenhum favor, eh obrigação. É o mínimo que se espera de um membro da justiça, afinal você ganha muito be… https://t.co/8AoItPrzLk",Neutro,são paulo-sp-brasil
MarinaBittenc13,"RT @Lucas_LukAlves: O MAIOR jornal do mundo, The New York Times, abre suas páginas HOJE p/ artigo do Presidente LULA. A rede Globo ""pira"" a…",Neutro,
crlopes73,RT @RoseBarros__: #LulaÉPresidiário E ficha suja também https://t.co/1Y6MaDxbAb,Negativo,Rio de Janeiro
Tidasil2706,RT @DaniloGentili: Se Lula é candidato então PCC é partido político. #LulaÉPresidiário,Negativo,"Minas Gerais, Brasil"
malluzinha78,RT @lindberghfarias: O #debateBand mostrou porque Lula é o líder isolado em todas as pesquisas e é o candidato que tem a confiança do povo:…,Neutro,"Belo Horizonte, Brasil"
jwilsao,"RT @AnjokaBramax: #LulaEPresidiario
RESPEITEM A LEI DA FICHA LIMPA
Se aceitarem registro de Lula, não poderão
exigir respeito às instituiçõ…",Negativo,
trajanojorge,RT @DCM_online: VÍDEO: TV alemã fala do registro da candidatura de Lula no TSE e chama Bolsonaro de homofóbico e machista https://t.co/5X4K…,Neutro,
enfanaleao,RT @niviaregina: Paguem pra ver!!! https://t.co/slrliBsDc7,Neutro,"Rio de Janeiro, Brasil"
ClaudioTMll,"Se ele pode, Lula também pode: liminar permite que deputado João Rodrigues deixe prisão e dispute eleição https://t.co/ND9ehEk9JB",Positivo,Recife | PE
dddupla,"RT @nandaxxie: Um homem que lutou pelo Brasil em 2002 quando ninguém acreditava, que não desistiu e voltou em 2006 para fazer história e se…",Positivo,
Roglio1,"RT @klauss2013: @anaamelialemos SENADORA, É MUITO IMPORTANTE RESTRINGIR A SAÍDA DE PRESOS - ESPECIALMENTE EM SE TRATANDO DO LULA, POIS #Lul…",Negativo,Brasil
niviaregina,"RT @brasil247: Pesquisa em Alagoas: Lula tem 55%, Bolsonaro 11% e Alckmin 2% https://t.co/qB5KZLgO06",Neutro,BRASIL
varelacarneiro,"RT @renatamd13: Aécio Neves registrou sua candidatura ontem para Deputado Federal e a Procuradora Geral da República, Raquel Dodge, não deu…",Neutro,"Belo Horizonte, Brasil"
eniysilva06yaho,RT @erikakokay: A alegria de quem sabe que tá fazendo história. #LulaÉCandidato Foto: Karina Zambrana https://t.co/Bvq6bEGMMO,Positivo,
rafael2ennes,"RT @Zanfa: 8 milhãozinho e o povo fazendo vaquinha pra família que tava ""passando fome"" após a prisão https://t.co/jJXoPqgvV3",Neutro,"Coxim, Brasil"
linePereira11,"RT @Lucashdf: #17Neles 
Eu confio! 
Primeiro turno é nosso!

#eleições2018 
#FraudeNasUrnasEletronicas",Positivo,Brasil
jmarcelob_crf,"RT @tristheus: 10 - se você defende que o Lula deva ser presidente mesmo sendo um criminoso, você não tem moral alguma pra reclamar de impu…",Negativo,
mhelenaRS,RT @JotaInfo: O momento do registro da candidatura de Lula no TSE https://t.co/TXbNxvPDCL,Neutro,"Rio Grande do Sul, Brasil"
JoaoVSales,"RT @DaniloGentili: Tente explicar para um amigo de outro país que um presidiário tenta, da cadeia, se candidatar a presidente. Filme a reaç…",Negativo,"Belo Horizonte, Brasil"
daniellabp10,"A justiça deveria ser sempre ágil, como é para tudo relacionado ao Lula... só acho...",Neutro,BH
PauloCarneiro79,@folha Bolsonaro fazendo o papel correto. Respeitem a Lei da ficha Limpa e deixe o Sr Lula pagar a dívida para com a Sociedade.,Negativo,"Joinville, Brasil"
ibvbassi,"RT @falandoverdes2: Por isso a corrida para tirar Lula:https://t.co/ANu8ZGp6S7
#LulaÉCandidato #LulaLivre",Positivo,
vm_veri,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Negativo,"Santa Bárbara d'Oeste, Brasil"
Dudu_schmalz,"RT @guzaux: - PESQUISA DO TWITTER - 
QUEM VENCE O 2° TURNO?
 #Eleições2018(RT PARA TODOS VOTAREM)",Neutro,
RealAndre12,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Neutro,"Joinville, Brasil"
marcosbruno11,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Negativo,Campos dos Goytacazes/RJ
ElizaLacaille,"RT @LuxAjuda: ENQUANTO ISSO...
#ELEIÇÕES2018 
===
https://t.co/XJpDWTRIIn",Neutro,Brasília
tiagomelgaco,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Neutro,Brasília
LipstickYukhei,"RT @ddaengbys: ciro gomes na globo news:

- disse que tá grato ao povo brasileiro, especialmente ao cearense que confiou nele;

- disse que…",Positivo,neocity
omgpab,"RT @bchartsnet: MARIELLE VIVE: Talíria Petrone é eleita Deuputada Federal pelo RJ, vai ter mulher negra no Congresso SIM! #Eleições2018 htt…",Positivo,zn rj ✌
xwipedout,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Negativo,na norte
dorafilha,RT @correio: Leila do Vôlei comparece à comemoração de Rollemberg https://t.co/0qoULjzDyr #CBnasEleições #Eleições2018 https://t.co/t6Ytlui…,Neutro,"Brasília, Brasil"
DecioJunior66,"RT @fernanda_ct03: Nós amamos o Brasil, amamos todas as regiões, amamos os brasileiros e queremos o melhor para TODOS. Vem com a gente #Bol…",Positivo,"Jardim Paulista, São Paulo"
FlavioCkless,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Negativo,"Glorinha, Brasil"
MAXWELLLOBO,"RT @jc_pe: Derrotados, Mendonça e Bruno Araújo declaram apoio a Bolsonaro no 2º turno https://t.co/GHNiDapi7k #EleiçõesSJCC #Eleições2018 h…",Neutro,"Recife, Brasil"
correio,Saiba como votaram as cidades goianas e mineiras do Entorno do DF https://t.co/9zvCYSUq8k #CBnasEleições… https://t.co/z33QPG7Zln,Neutro,"Brasília, Brasil"
crvgluizaa,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Neutro,"Praia de itaparica, ES "
bellebessa18,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",Negativo,"Beverly Hills, CA"
dorafilha,"RT @correio: Na Bahia, Rui Costa é reeleito e mantém estado sob domínio do PT https://t.co/KWfGKkYMvA #CBnasEleições #Eleições2018 https://…",Neutro,"Brasília, Brasil"
Tagcqc,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Negativo,"Minas Gerais, Brasil"
alexLeleco_18,"RT @raffaelmurilo: a pergunta que é: ""como ninguém viu a porra da marreta?"" https://t.co/XgegE9LtHM",Neutro,"Rio de Janeiro, Brasil"
freitasjr2001,"RT @MomentsBrasil: Tudo sobre as #Eleições2018 em tempo real

🗞️ Últimas notícias
📺 Entrevistas e análises ao vivo
👥 Informações sobre os c…",Neutro,"Brasília/DF, Brasil "
Fesedutti,#Eleições2018 é de foder... literalmente! Eleger o frota 😅,Negativo,Vivo no Mundo da Publicidade
myheartbranco,"RT @RedeTV: Os jornalistas Boris Casoy, Amanda Klein, Mariana Godoy e Reinaldo Azevedo comentam as pesquisas e os resultados das urnas. Par…",Neutro,
ediiaa,"RT @vitortorres: O jornalismo político do Globo fracassou tanto nessas eleições que os comentaristas nem sabem pronunciar Witzel. 

#Eleiçõ…",Negativo,Salvador -Bahia
UpShadw,RT @5harmolizers: Eu esperando o resultado dessa eleição #ViraViraClR0 #Eleições2018 https://t.co/3uTtu2jTML,Positivo,Beacon Hills 
